season,situation,name,toi,gp,gf,ga,gf60,ga60,gf_per,cf,ca,cf60,ca60,cf_per,sh_per,sv_per,pdo,csh_per,csv_per,cpdo,nzfo_per,dzfo_per,ozfo_per
2014-2015,5v5 All,NY Rangers,4009:39:00,82,179,137,2.68,2.05,56.6,3638,3713,54.44,55.56,49.5,8.84,93.08,101.92,4.92,96.31,101.23,36.43,31.93,31.64
2014-2015,5v5 All,Ottawa,3866:09:00,82,151,143,2.34,2.22,51.4,3583,3549,55.61,55.08,50.2,8.01,92.97,100.99,4.21,95.97,100.19,36.08,31.99,31.93
2014-2015,5v5 All,Philadelphia,3930:51:00,82,132,135,2.01,2.06,49.4,3515,3614,53.65,55.16,49.3,7.31,92.95,100.26,3.76,96.26,100.02,34.9,31.81,33.3
2014-2015,5v5 All,Pittsburgh,3861:17:00,82,145,130,2.25,2.02,52.7,3595,3213,55.86,49.93,52.8,7.42,92.6,100.03,4.03,95.95,99.99,38.03,28.34,33.63
2014-2015,5v5 All,San Jose,3968:06:00,82,137,155,2.07,2.34,46.9,3930,3706,59.42,56.04,51.5,7.01,91.86,98.87,3.49,95.82,99.3,34.98,33.38,31.64
2014-2015,5v5 All,St. Louis,3938:12:00,82,161,133,2.45,2.03,54.8,3603,3359,54.89,51.18,51.8,8.19,92.36,100.55,4.47,96.04,100.51,34.7,32.87,32.43
2014-2015,5v5 All,Tampa Bay,3833:36:00,82,176,134,2.75,2.1,56.8,3574,3166,55.94,49.55,53,9.03,91.98,101.01,4.92,95.77,100.69,38.82,27.77,33.41
2014-2015,5v5 All,Toronto,3855:10:00,82,136,171,2.12,2.66,44.3,3361,3878,52.31,60.36,46.4,7.51,91.84,99.35,4.05,95.59,99.64,35.96,35.52,28.52
2014-2015,5v5 All,Vancouver,3892:48:00,82,148,158,2.28,2.44,48.4,3475,3545,53.56,54.64,49.5,7.74,91.6,99.35,4.26,95.54,99.8,36.68,31.54,31.78
2014-2015,5v5 All,Washington,3893:24:00,82,146,133,2.25,2.05,52.3,3612,3419,55.66,52.69,51.4,8.05,92.44,100.49,4.04,96.11,100.15,36.85,29.77,33.38
2014-2015,5v5 All,Winnipeg,3773:36:00,82,143,123,2.27,1.96,53.8,3501,3166,55.67,50.34,52.5,7.87,92.73,100.6,4.08,96.12,100.2,35.98,30.86,33.1
2013-2014,5v5 All,Anaheim,3822:39:00,82,187,133,2.94,2.09,58.4,3499,3525,54.92,55.33,49.8,9.83,92.61,102.44,5.34,96.23,101.57,35.54,31.7,32.76
